page_type,target_url,primary_topic,search_intent,audience,commercial_role,validation_status
hub,https://aitoolgems.tech/,AI tools Pakistan,commercial,General Pakistan users,Marketplace entry,Needs GSC/SERP validation
hub,https://aitoolgems.tech/guides/,AI tools guides Pakistan,informational,Students freelancers creators,Discovery hub,Needs GSC/SERP validation
guide,https://aitoolgems.tech/guides/ai-tools-price-pakistan/,AI tools price Pakistan,commercial-investigative,Price-conscious buyers,Price comparison,Needs current price verification
guide,https://aitoolgems.tech/guides/chatgpt-vs-gemini-pakistan/,ChatGPT vs Gemini Pakistan,comparison,Students professionals,Comparison to product pages,Needs current feature verification
guide,https://aitoolgems.tech/guides/canva-vs-figma-pakistan/,Canva vs Figma Pakistan,comparison,Designers teams,Comparison to product pages,Needs current feature verification
product,https://aitoolgems.tech/tools/chatgpt/,ChatGPT Plus price Pakistan,transactional,Students creators professionals,Product lead,Needs vendor/access verification
product,https://aitoolgems.tech/tools/gemini/,Gemini Pro Pakistan,transactional,Researchers students,Product lead,Needs vendor/access verification
product,https://aitoolgems.tech/tools/veo/,Veo price Pakistan,transactional,Video creators,Product lead,Needs vendor/access verification
product,https://aitoolgems.tech/tools/canva/,Canva Pro price Pakistan,transactional,Students designers,Product lead,Needs vendor/access verification
product,https://aitoolgems.tech/tools/capcut/,CapCut Pro price Pakistan,transactional,Creators editors,Product lead,Needs vendor/access verification
product,https://aitoolgems.tech/tools/adobe/,Adobe Creative Cloud Pakistan,transactional,Designers editors,Product lead,Needs vendor/access verification
product,https://aitoolgems.tech/tools/figma/,Figma Pro Pakistan,transactional,UI/UX designers,Product lead,Needs vendor/access verification
product,https://aitoolgems.tech/tools/lovable/,Lovable Pro Pakistan,transactional,Developers founders,Product lead,Needs vendor/access verification
